theta1,theta2,px,py
0,0,90,0
0,1,89.99390781,0.698096257
0,2,89.97563308,1.395979868
0,3,89.94518139,2.09343825
0,4,89.90256201,2.79025895
0,5,89.84778792,3.48622971
0,6,89.78087581,4.181138531
0,7,89.70184607,4.874773736
0,8,89.61072275,5.566924038
0,9,89.50753362,6.257378602
0,10,89.39231012,6.945927107
0,11,89.26508734,7.632359815
0,12,89.12590403,8.316467633
0,13,88.97480259,8.998042174
0,14,88.81182905,9.676875824
0,15,88.63703305,10.3527618
0,16,88.45046784,11.02549423
0,17,88.25219024,11.69486819
0,18,88.04226065,12.36067977
0,19,87.82074302,13.02272618
0,20,87.58770483,13.68080573
0,21,87.34321706,14.33471798
0,22,87.08735418,14.98426374
0,23,86.82019414,15.62924514
0,24,86.54181831,16.26946572
0,25,86.25231148,16.90473047
0,26,85.95176185,17.53484587
0,27,85.64026097,18.15961999
0,28,85.31790371,18.77886251
0,29,84.98478829,19.39238481
0,30,84.64101615,20
0,31,84.28669203,20.601523
0,32,83.92192385,21.19677057
0,33,83.54682272,21.7855614
0,34,83.1615029,22.36771614
0,35,82.76608177,22.94305745
0,36,82.36067977,23.51141009
0,37,81.9454204,24.07260093
0,38,81.52043014,24.62645901
0,39,81.08583846,25.17281564
0,40,80.64177772,25.71150439
0,41,80.18838321,26.24236116
0,42,79.72579302,26.76522425
0,43,79.25414806,27.2799344
0,44,78.77359201,27.78633482
0,45,78.28427125,28.28427125
0,46,77.78633482,28.77359201
0,47,77.2799344,29.25414806
0,48,76.76522425,29.72579302
0,49,76.24236116,30.18838321
0,50,75.71150439,30.64177772
0,51,75.17281564,31.08583846
0,52,74.62645901,31.52043014
0,53,74.07260093,31.9454204
0,54,73.51141009,32.36067977
0,55,72.94305745,32.76608177
0,56,72.36771614,33.1615029
0,57,71.7855614,33.54682272
0,58,71.19677057,33.92192385
0,59,70.601523,34.28669203
0,60,70,34.64101615
0,61,69.39238481,34.98478829
0,62,68.77886251,35.31790371
0,63,68.15961999,35.64026097
0,64,67.53484587,35.95176185
0,65,66.90473047,36.25231148
0,66,66.26946572,36.54181831
0,67,65.62924514,36.82019414
0,68,64.98426374,37.08735418
0,69,64.33471798,37.34321706
0,70,63.68080573,37.58770483
0,71,63.02272618,37.82074302
0,72,62.36067977,38.04226065
0,73,61.69486819,38.25219024
0,74,61.02549423,38.45046784
0,75,60.3527618,38.63703305
0,76,59.67687582,38.81182905
0,77,58.99804217,38.97480259
0,78,58.31646763,39.12590403
0,79,57.63235982,39.26508734
0,80,56.94592711,39.39231012
0,81,56.2573786,39.50753362
0,82,55.56692404,39.61072275
0,83,54.87477374,39.70184607
0,84,54.18113853,39.78087581
0,85,53.48622971,39.84778792
0,86,52.79025895,39.90256201
0,87,52.09343825,39.94518139
0,88,51.39597987,39.97563308
0,89,50.69809626,39.99390781
0,90,50,40
0,91,49.30190374,39.99390781
0,92,48.60402013,39.97563308
0,93,47.90656175,39.94518139
0,94,47.20974105,39.90256201
0,95,46.51377029,39.84778792
0,96,45.81886147,39.78087581
0,97,45.12522626,39.70184607
0,98,44.43307596,39.61072275
0,99,43.7426214,39.50753362
0,100,43.05407289,39.39231012
0,101,42.36764018,39.26508734
0,102,41.68353237,39.12590403
0,103,41.00195783,38.97480259
0,104,40.32312418,38.81182905
0,105,39.6472382,38.63703305
0,106,38.97450577,38.45046784
0,107,38.30513181,38.25219024
0,108,37.63932023,38.04226065
0,109,36.97727382,37.82074302
0,110,36.31919427,37.58770483
0,111,35.66528202,37.34321706
0,112,35.01573626,37.08735418
0,113,34.37075486,36.82019414
0,114,33.73053428,36.54181831
0,115,33.09526953,36.25231148
0,116,32.46515413,35.95176185
0,117,31.84038001,35.64026097
0,118,31.22113749,35.31790371
0,119,30.60761519,34.98478829
0,120,30,34.64101615
0,121,29.398477,34.28669203
0,122,28.80322943,33.92192385
0,123,28.2144386,33.54682272
0,124,27.63228386,33.1615029
0,125,27.05694255,32.76608177
0,126,26.48858991,32.36067977
0,127,25.92739907,31.9454204
0,128,25.37354099,31.52043014
0,129,24.82718436,31.08583846
0,130,24.28849561,30.64177772
0,131,23.75763884,30.18838321
0,132,23.23477575,29.72579302
0,133,22.7200656,29.25414806
0,134,22.21366518,28.77359201
0,135,21.71572875,28.28427125
0,136,21.22640799,27.78633482
0,137,20.74585194,27.2799344
0,138,20.27420698,26.76522425
0,139,19.81161679,26.24236116
0,140,19.35822228,25.71150439
0,141,18.91416154,25.17281564
0,142,18.47956986,24.62645901
0,143,18.0545796,24.07260093
0,144,17.63932023,23.51141009
0,145,17.23391823,22.94305745
0,146,16.8384971,22.36771614
0,147,16.45317728,21.7855614
0,148,16.07807615,21.19677057
0,149,15.71330797,20.601523
0,150,15.35898385,20
0,151,15.01521171,19.39238481
0,152,14.68209629,18.77886251
0,153,14.35973903,18.15961999
0,154,14.04823815,17.53484587
0,155,13.74768852,16.90473047
0,156,13.45818169,16.26946572
0,157,13.17980586,15.62924514
0,158,12.91264582,14.98426374
0,159,12.65678294,14.33471798
0,160,12.41229517,13.68080573
0,161,12.17925698,13.02272618
0,162,11.95773935,12.36067977
0,163,11.74780976,11.69486819
0,164,11.54953216,11.02549423
0,165,11.36296695,10.3527618
0,166,11.18817095,9.676875824
0,167,11.02519741,8.998042174
0,168,10.87409597,8.316467633
0,169,10.73491266,7.632359815
0,170,10.60768988,6.945927107
0,171,10.49246638,6.257378602
0,172,10.38927725,5.566924038
0,173,10.29815393,4.874773736
0,174,10.21912419,4.181138531
0,175,10.15221208,3.48622971
0,176,10.09743799,2.79025895
0,177,10.05481861,2.09343825
0,178,10.02436692,1.395979868
0,179,10.00609219,0.698096257
0,180,10,4.90E-15
1,0,89.98629256,1.570716579
